%time,field.data
198050000000,EXPLORING
198550000000,EXPLORING
199050000000,EXPLORING
199550000000,EXPLORING
200050000000,EXPLORING
200550000000,EXPLORING
201051000000,EXPLORING
201550000000,EXPLORING
202097000000,EXPLORING
202600000000,EXPLORING
203100000000,EXPLORING
203601000000,EXPLORING
204101000000,EXPLORING
204762000000,EXPLORING
205266000000,EXPLORING
205775000000,EXPLORING
206316000000,EXPLORING
206817000000,EXPLORING
207316000000,EXPLORING
207818000000,EXPLORING
208517000000,EXPLORING
209094000000,EXPLORING
209590000000,EXPLORING
210090000000,EXPLORING
210590000000,EXPLORING
211091000000,EXPLORING
211590000000,EXPLORING
212090000000,EXPLORING
212590000000,EXPLORING
213091000000,EXPLORING
213590000000,EXPLORING
214091000000,EXPLORING
214590000000,EXPLORING
215087000000,EXPLORING
215600000000,EXPLORING
216107000000,EXPLORING
216619000000,EXPLORING
217118000000,EXPLORING
217618000000,EXPLORING
218118000000,EXPLORING
218619000000,EXPLORING
219118000000,EXPLORING
219647000000,EXPLORING
220153000000,EXPLORING
220678000000,EXPLORING
221179000000,EXPLORING
221679000000,EXPLORING
222179000000,EXPLORING
222678000000,EXPLORING
223208000000,EXPLORING
223755000000,EXPLORING
224258000000,EXPLORING
224757000000,EXPLORING
225258000000,EXPLORING
225761000000,EXPLORING
226307000000,EXPLORING
227023000000,EXPLORING
227560000000,EXPLORING
228129000000,EXPLORING
228629000000,EXPLORING
229129000000,EXPLORING
229628000000,EXPLORING
230133000000,EXPLORING
230679000000,EXPLORING
231187000000,EXPLORING
231696000000,EXPLORING
232213000000,EXPLORING
232713000000,EXPLORING
233214000000,EXPLORING
233713000000,EXPLORING
234213000000,EXPLORING
234725000000,EXPLORING
235225000000,EXPLORING
235734000000,EXPLORING
236233000000,EXPLORING
236742000000,EXPLORING
237283000000,EXPLORING
237783000000,EXPLORING
